		 1300 watt_Geometry.txt 

		 Propeller Geometry Table

Date and time: 02-Jul-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 550 RPM
Propeller Hub Diameter 	 = 0.0893 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2030  0.0707  0.3528  0.0630  1.3593  64.8712  0.0000  0.0000
0.2655  0.0843  0.2765  0.0514  1.3186  57.6843  0.0000  0.0000
0.3276  0.0942  0.2262  0.0455  1.3114  51.8720  0.0000  0.0000
0.3890  0.1031  0.1875  0.0407  1.3072  46.9259  0.0000  0.0000
0.4493  0.1095  0.1659  0.0370  1.3047  42.7513  0.0000  0.0000
0.5080  0.1133  0.1534  0.0341  1.3032  39.2368  0.0000  0.0000
0.5648  0.1138  0.1452  0.0320  1.3025  36.2818  0.0000  0.0000
0.6194  0.1122  0.1400  0.0303  1.3022  33.7896  0.0000  0.0000
0.6714  0.1098  0.1359  0.0286  1.3017  31.6780  0.0000  0.0000
0.7206  0.1066  0.1331  0.0270  1.3011  29.8876  0.0000  0.0000
0.7666  0.1018  0.1326  0.0256  1.3006  28.3726  0.0000  0.0000
0.8090  0.0952  0.1352  0.0246  1.3004  27.0960  0.0000  0.0000
0.8478  0.0873  0.1415  0.0238  1.3003  26.0218  0.0000  0.0000
0.8825  0.0792  0.1493  0.0228  1.2998  25.1171  0.0000  0.0000
0.9131  0.0715  0.1570  0.0215  1.2988  24.3580  0.0000  0.0000
0.9393  0.0615  0.1703  0.0210  1.2986  23.7520  0.0000  0.0000
0.9610  0.0489  0.1830  0.0213  1.2992  23.2847  0.0000  0.0000
0.9780  0.0360  0.1610  0.0219  1.3004  22.9412  0.0000  0.0000
0.9902  0.0234  0.1168  0.0227  1.3019  22.7103  0.0000  0.0000
0.9975  0.0113  0.0614  0.0234  1.3031  22.5787  0.0000  0.0000
1.0000  0.0000  0.0000  0.0237  1.3036  22.5362  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
