		 Schroefblad350 (150rpm)_Geometry.txt 

		 Propeller Geometry Table

Date and time: 02-Apr-2020

Propeller Diameter 	 = 0.4400 m
Number of Blades   	 = 2
Propeller Speed 	 = 150 RPM
Propeller Hub Diameter 	 = 0.0893 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2030  0.0707  0.3528  0.2046  6.4989  84.3967  0.0000  0.0000
0.2655  0.0843  0.2765  0.1775  4.9679  80.4695  0.0000  0.0000
0.3276  0.0942  0.2262  0.1698  4.6460  77.5081  0.0000  0.0000
0.3890  0.1031  0.1875  0.1645  4.4682  74.7026  0.0000  0.0000
0.4493  0.1095  0.1659  0.1620  4.3761  72.1247  0.0000  0.0000
0.5080  0.1133  0.1534  0.1612  4.3296  69.7667  0.0000  0.0000
0.5648  0.1138  0.1452  0.1625  4.3140  67.6422  0.0000  0.0000
0.6194  0.1122  0.1400  0.1643  4.3121  65.7117  0.0000  0.0000
0.6714  0.1098  0.1359  0.1646  4.3113  63.9287  0.0000  0.0000
0.7206  0.1066  0.1331  0.1638  4.3108  62.2938  0.0000  0.0000
0.7666  0.1018  0.1326  0.1628  4.3130  60.8228  0.0000  0.0000
0.8090  0.0952  0.1352  0.1629  4.3208  59.5347  0.0000  0.0000
0.8478  0.0873  0.1415  0.1629  4.3291  58.3992  0.0000  0.0000
0.8825  0.0792  0.1493  0.1612  4.3305  57.3706  0.0000  0.0000
0.9131  0.0715  0.1570  0.1569  4.3219  56.4255  0.0000  0.0000
0.9393  0.0615  0.1703  0.1553  4.3226  55.6791  0.0000  0.0000
0.9610  0.0489  0.1830  0.1600  4.3449  55.2068  0.0000  0.0000
0.9780  0.0360  0.1610  0.1666  4.3728  54.9072  0.0000  0.0000
0.9902  0.0234  0.1168  0.1724  4.3967  54.7200  0.0000  0.0000
0.9975  0.0113  0.0614  0.1762  4.4123  54.6155  0.0000  0.0000
1.0000  0.0000  0.0000  0.1775  4.4177  54.5817  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
